Temperature,Moisture,Rainfall,PH,Nitrogen,Phosphorous,Potassium,Carbon,Soil,Crop,Fertilizer,Remark
29.36,0.866,246.4,6.7,32.48,32.48,27.55,2.67,Peaty Soil,Maize,Urea,Recommended
20.51,0.879,266.49,5.92,34.55,34.67,59.55,1.81,Peaty Soil,Rice,Urea,Recommended
27.28,0.628,127.9,6.08,49.31,56.49,122.07,1.0,Peaty Soil,Rice,Urea,Recommended
21.16,0.625,134.1,5.63,95.91,97.25,125.09,1.26,Acidic Soil,Wheat,Urea,Recommended
37.11,0.508,124.41,6.49,22.75,92.75,53.64,2.16,Sandy Soil,Potato,Urea,Recommended
33.0,0.583,136.97,7.44,82.01,95.16,136.33,1.99,Peaty Soil,Rice,Urea,Recommended
44.03,0.791,249.46,6.58,66.94,97.22,98.91,1.19,Acidic Soil,Sugarcane,Urea,Recommended
21.86,0.891,254.45,5.9,20.44,85.24,111.89,2.32,Loamy Soil,Maize,Urea,Recommended
21.85,0.451,123.17,7.23,69.86,46.47,28.26,1.28,Acidic Soil,Maize,Urea,Recommended
34.78,0.392,212.25,6.27,97.74,87.91,113.82,1.09,Clay Soil,Rice,Urea,Recommended
37.77,0.278,187.87,5.9,91.66,58.03,93.23,2.24,Acidic Soil,Sugarcane,Urea,Recommended
33.5,0.342,288.57,6.7,75.58,90.44,101.17,1.24,Acidic Soil,Potato,Urea,Recommended
31.41,0.353,183.3,7.27,45.95,29.77,66.32,2.77,Loamy Soil,Rice,Urea,Recommended
36.19,0.2,170.51,6.11,33.17,62.73,83.03,2.23,Sandy Soil,Cotton,Urea,Recommended
26.1,0.318,143.75,6.62,52.31,25.19,53.01,1.12,Sandy Soil,Maize,Urea,Recommended
27.52,0.399,107.38,6.72,60.21,24.12,56.22,2.77,Clay Soil,Potato,Urea,Recommended
23.62,0.543,297.13,5.98,73.77,80.93,50.89,2.32,Acidic Soil,Cotton,Urea,Recommended
44.59,0.479,263.29,7.1,32.06,60.66,110.46,2.65,Peaty Soil,Maize,Urea,Recommended
25.51,0.698,261.9,6.2,27.69,95.24,71.68,1.79,Loamy Soil,Maize,Urea,Recommended
28.53,0.279,284.94,7.25,40.64,72.8,126.24,1.89,Peaty Soil,Rice,Urea,Recommended
26.05,0.265,279.44,7.3,70.65,47.12,65.4,2.31,Clay Soil,Cotton,Urea,Recommended
42.18,0.746,228.41,5.67,32.93,91.88,98.84,0.52,Loamy Soil,Maize,Urea,Recommended
44.34,0.399,161.07,6.47,55.87,99.56,42.87,0.55,Acidic Soil,Cotton,Urea,Recommended
29.16,0.721,244.19,6.12,63.4,60.71,102.72,1.13,Acidic Soil,Maize,Urea,Recommended
42.3,0.642,258.96,6.51,66.15,59.4,45.38,2.31,Clay Soil,Cotton,Urea,Recommended
20.61,0.652,135.42,7.38,96.31,93.19,68.12,0.54,Acidic Soil,Rice,Urea,Recommended
33.82,0.601,296.07,5.65,44.46,35.27,54.9,1.71,Sandy Soil,Rice,Urea,Recommended
29.87,0.791,286.0,5.64,36.71,73.69,66.62,1.14,Sandy Soil,Wheat,Urea,Recommended
28.06,0.794,127.32,6.92,64.23,43.72,74.57,1.14,Acidic Soil,Cotton,Urea,Recommended
32.78,0.551,259.66,6.8,76.16,83.66,135.7,1.34,Peaty Soil,Wheat,Urea,Recommended
22.35,0.605,107.19,6.43,63.41,42.92,96.81,0.58,Peaty Soil,Wheat,Urea,Recommended
40.57,0.452,125.41,6.54,81.6,37.27,100.98,0.71,Acidic Soil,Cotton,Urea,Recommended
30.28,0.69,127.67,5.77,97.56,77.17,25.34,1.5,Clay Soil,Cotton,Urea,Recommended
38.6,0.376,136.87,5.66,54.27,75.08,27.57,2.79,Sandy Soil,Potato,Urea,Recommended
22.35,0.328,286.92,6.78,61.34,72.57,76.64,2.33,Clay Soil,Cotton,Urea,Recommended
34.15,0.311,124.03,6.18,27.34,27.53,60.48,2.95,Acidic Soil,Cotton,Urea,Recommended
20.43,0.734,261.38,6.19,57.17,71.98,26.25,2.87,Peaty Soil,Wheat,Urea,Recommended
26.52,0.211,286.69,6.5,63.15,74.72,100.06,2.86,Sandy Soil,Rice,Urea,Recommended
41.68,0.645,260.19,6.85,65.87,30.28,125.46,2.55,Peaty Soil,Maize,Urea,Recommended
40.51,0.656,141.34,6.05,37.17,50.18,25.07,2.05,Loamy Soil,Wheat,Urea,Recommended
27.97,0.791,104.65,7.13,42.55,29.45,110.58,2.07,Acidic Soil,Cotton,Urea,Recommended
30.45,0.877,209.59,6.35,65.48,66.07,115.11,0.82,Loamy Soil,Potato,Urea,Recommended
34.05,0.367,235.97,6.98,39.06,50.22,89.46,1.74,Loamy Soil,Potato,Urea,Recommended
27.44,0.27,110.7,7.42,87.77,48.39,144.38,2.19,Peaty Soil,Maize,Urea,Recommended
32.33,0.258,118.34,6.7,64.3,37.02,143.01,2.45,Acidic Soil,Sugarcane,Urea,Recommended
32.36,0.24,209.91,6.38,91.02,48.07,35.22,0.86,Sandy Soil,Wheat,Urea,Recommended
